NM_RAZAO_SOCIAL;CD_PROCESSO_SUSEP;NR_PROPOSTA;ID_PROPOSTA;DT_PROPOSTA;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;NM_SEGURADO;NR_DOCUMENTO_SEGURADO;NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;LATITUDE;NR_GRAU_LAT;NR_MIN_LAT;NR_SEG_LAT;LONGITUDE;NR_GRAU_LONG;NR_MIN_LONG;NR_SEG_LONG;NR_DECIMAL_LATITUDE;NR_DECIMAL_LONGITUDE;NM_CLASSIF_PRODUTO;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_ANIMAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;NR_APOLICE;DT_APOLICE;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Aliança do Brasil Seguros S/A.;15414901479201927;50737872;1050723;01/11/2019;01/11/2019;31/10/2020;ANONIMIZADO;***;Bossoroca;RS;S;28;39;15;W;54;43;42;-;-;CUSTEIO;Soja;64;-;3300;2475;0,75;140800;12672;0,09;4435,2;8807;11/11/2019;2019;4302501;92330,71; INUNDAÇÃO/TROMBA D´ÁGUA
Aliança do Brasil Seguros S/A.;15414901479201927;60053645;1984557;06/12/2024;06/12/2024;06/12/2025;ANONIMIZADO;***;Ângulo;PR;-;-;-;-;-;-;-;-;-23,16194;-51,960584;CUSTEIO;Milho 2ª safra;21;-;4240;3180;0,75;181891,52;7521,57;0,041351955;3008,62;9647;06/01/2025;2025;4101150;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50875347;1081925;23/11/2019;23/11/2019;22/11/2020;ANONIMIZADO;***;Promissão;SP;S;21;38;26;W;49;55;46;-;-;CUSTEIO;Soja;133,2;-;2800;1820;0,65;270991,6;21378,23;0,078888903;7482,38;9109;27/11/2019;2019;3541604;41543,01; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;60055290;1984936;10/12/2024;10/12/2024;10/12/2025;ANONIMIZADO;***;Atalaia;PR;-;-;-;-;-;-;-;-;-23,157821;-52,054576;CUSTEIO;Milho 2ª safra;57;-;4560;3420;0,75;505080;32626,59;0,064596876;13050,63;9700;06/01/2025;2025;4102208;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;54912681;1501867;26/08/2021;26/08/2021;26/08/2022;ANONIMIZADO;***;Dom Pedrito;RS;S;31;7;42;W;54;23;23;-;-;CUSTEIO;Soja;236;-;2800;1820;0,65;715080,01;69918,93;0,097777772;13983,79;21495;30/08/2021;2021;4306601;0; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;50426007;1045364;06/09/2019;06/09/2019;05/09/2020;ANONIMIZADO;***;São Borja;RS;S;28;38;44;W;55;53;10;-;-;CUSTEIO;Soja;167;-;3300;2475;0,75;300600;27671,37;0,092053792;9684,98;8185;27/09/2019;2019;4318002;197945,1; INUNDAÇÃO/TROMBA D´ÁGUA
Aliança do Brasil Seguros S/A.;15414901479201927;51042478;1094667;06/01/2020;06/01/2020;05/01/2021;ANONIMIZADO;***;Corbélia;PR;S;24;47;34;W;53;13;58;-;-;CUSTEIO;Milho 2ª safra;57,3;-;6500;4225;0,65;141220,43;14828,15;0,105000034;5189,85;9708;07/01/2020;2020;4106308;14499,78; INUNDAÇÃO/TROMBA D´ÁGUA
Aliança do Brasil Seguros S/A.;15414901479201927;50405387;1045602;30/08/2019;30/08/2019;29/08/2020;ANONIMIZADO;***;Nova Mutum;MT;S;13;46;30;W;55;37;55;-;-;CUSTEIO;Soja;541,81;-;3750;3000;0,8;1137801;45386,86;0,039889981;13616,06;8154;27/09/2019;2019;5106224;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50405401;1051555;31/08/2019;31/08/2019;30/08/2020;ANONIMIZADO;***;Nova Mutum;MT;S;14;1;9;W;55;29;12;-;-;CUSTEIO;Soja;767;-;3750;3000;0,8;2301000;91786,84;0,039889978;27536,05;8163;27/09/2019;2019;5106224;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51310664;1145668;06/03/2020;06/03/2020;06/03/2021;ANONIMIZADO;***;Vitorino;PR;S;26;14;28;W;52;50;13;-;-;CUSTEIO;Feijão 1ª safra;15,26;-;2000;1300;0,65;34335;2746,8;0,08;686,7;10393;09/03/2020;2020;4128708;11707,01; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;55816020;1569522;31/01/2022;31/01/2022;31/01/2023;ANONIMIZADO;***;Atalaia;PR;-;-;-;-;-;-;-;-;-23,146022;-52,037958;CUSTEIO;Milho 2ª safra;25;-;6000;3900;0,65;117450;13702,5;0,116666667;5481;25297;27/04/2022;2022;4102208;0; VENTOS FORTES/FRIOS
